Title,ImdbId
Sex and the City 2 (2010),tt1261945
The Shallows (2016),tt4052882
Side Effects (2013),tt2053463
Silver Linings Playbook (2012),tt1045658
Sisters (2015),tt1850457
Sky Captain and the World of Tomorrow (2004),tt0346156
Skyline (2010),tt1564585
Slumdog Millionaire (2008),tt1010048
Snow White and the Seven Dwarfs (1937),tt0029583
Snowden (2016),tt3774114
Southland Tales (2006),tt0405336
Soylent Green (1973),tt0070723
Disturbia (2007),tt0486822
Divergent (2014),tt1840309
Django Unchained (2012),tt1853728
Do the Right Thing (1989),tt0097216
DodgeBall: A True Underdog Story (2004),tt0364725
Dogma (1999),tt0120655
Don't Tell Mom the Babysitter's Dead (1991),tt0101757
Donnie Darko (2001),tt0246578
A Letter to Momo (2011),tt1853614
Are All Men Pedophiles? (2012),tt2072045
Austin Powers: International Man of Mystery (1997),tt0118655
Aziz Ansari: Buried Alive (2013),tt2836450
Aziz Ansari: Dangerously Delicious (2012),tt2302529
Aziz Ansari: Intimate Moments for a Sensual Evening (2010),tt1588412
Avatar (2009),tt0499549
Bad Boys (1995),tt0112442
Bad Boys II (2003),tt0172156
Neighbors 2: Sorority Rising (2016),tt4438848
A Walk Among the Tombstones (2014),tt0365907
A.I. Artificial Intelligence (2001),tt0212720
Aachi and Ssipak (2006),tt0972542
Abraham Lincoln: Vampire Hunter (2012),tt1611224
Open Your Eyes (1997),tt0125659
Ace Ventura: Pet Detective (1994),tt0109040
Ace Ventura: When Nature Calls (1995),tt0112281
Adaptation. (2002),tt0268126
After Earth (2013),tt1815862
American Wedding (2003),tt0328828
"As Above, So Below (2014)",tt2870612
Bad Santa (2003),tt0307987
Batman: Mystery of the Batwoman (2003),tt0346578
Batman v Superman: Dawn of Justice (2016),tt2975590
Beasts of No Nation (2015),tt1365050
Bedazzled (2000),tt0230030
Big Hero 6 (2014),tt2245084
Anchors Aweigh (1945),tt0037514
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),tt0057012
Dragonslayer (1981),tt0082288
Dragonwolf (2013),tt2164468
Dreamcatcher (2003),tt0285531
Dredd (2012),tt1343727
Dumb and Dumberer: When Harry Met Lloyd (2003),tt0329028
Dumbo (1941),tt0033563
Easy A (2010),tt1282140
Ed Gein: The Butcher of Plainfield (2007),tt0858437
Edge of Tomorrow (2014),tt1631867
Edward Scissorhands (1990),tt0099487
Eight Crazy Nights (2002),tt0271263
Electra Woman and Dyna Girl (2016),tt4644822
Elysium (2013),tt1535108
Ender's Game (2013),tt1731141
Enter the Void (2009),tt1191111
Epic (2013),tt0848537
Equilibrium (2002),tt0238380
Escape to Witch Mountain (1975),tt0072951
Eternal Sunshine of the Spotless Mind (2004),tt0338013
EuroTrip (2004),tt0356150
The Even Stevens Movie (2003),tt0327698
Evolution (2001),tt0251075
Eyes Wide Shut (1999),tt0120663
Fading Gigolo (2013),tt2258345
Fantasia (1940),tt0032455
Fantasia 2000 (1999),tt0120910
Fear and Loathing in Las Vegas (1998),tt0120669
Ferris Bueller's Day Off (1986),tt0091042
Fight Club (1999),tt0137523
Finding Nemo (2003),tt0266543
Finding Neverland (2004),tt0308644
Flesh Gordon (1974),tt0068595
Flubber (1997),tt0119137
Forrest Gump (1994),tt0109830
Freaky Friday (1976),tt0076054
Freaky Friday (2003),tt0322330
Freddy Got Fingered (2001),tt0240515
Free State of Jones (2016),tt1124037
Frequency (2000),tt0186151
Friday (1995),tt0113118
Friday After Next (2002),tt0293815
Friends with Benefits (2011),tt1632708
Dragon Nest: Warriors' Dawn (2014),tt2911342
Dream House (2011),tt1462041
Drillbit Taylor (2008),tt0817538
Drive (2011),tt0780504
Dumb and Dumber (1994),tt0109686
Earth to Echo (2014),tt2183034
Easy Money (1983),tt0085470
Eat Pray Love (2010),tt0879870
Eden of the East Movie I: The King of Eden (2009),tt1460738
Elf (2003),tt0319343
Empire of the Sun (1987),tt0092965
Empire Records (1995),tt0112950
Employee of the Month (2006),tt0424993
Enemy (2013),tt2316411
Entourage (2015),tt1674771
Envy (2004),tt0326856
National Lampoon's European Vacation (1985),tt0089670
Evan Almighty (2007),tt0413099
Ex Machina (2014),tt0470752
Exam (2009),tt1258197
Rakuen Tsuihou - Expelled from Paradise (2014),tt2859246
Fantastic Four (2015),tt1502712
Fantastic Mr. Fox (2009),tt0432283
Fargo (1996),tt0116282
Fast & Furious (2009),tt1013752
The Jerk (1979),tt0079367
Anger Management (2003),tt0305224
Click (2006),tt0389860
Clerks II (2006),tt0424345
Cloud Atlas (2012),tt1371111
Clockstoppers (2002),tt0157472
Cloudy with a Chance of Meatballs (2009),tt0844471
Free the Nipple (2014),tt2298394
Forks Over Knives (2011),tt1567233
Free Willy (1993),tt0106965
Frequencies (2013),tt2414766
Full Metal Jacket (1987),tt0093058
Fullmetal Alchemist The Movie: The Sacred Star of Milos (2011),tt1776196
Furious 7 (2015),tt2820852
Forbidden Planet (1956),tt0049223
Fury (2014),tt2713180
Get Hard (2015),tt2561572
Ghost in the Shell 2: Innocence (2004),tt0347246
Ghosts of Mars (2001),tt0228333
Gia (1998),tt0123865
Godzilla (1998),tt0120685
Gone Girl (2014),tt2267998
Good Will Hunting (1997),tt0119217
Gravy (2015),tt2822578
DC Showcase: Catwoman (2011),tt1986806
Diamonds Are Forever (1971),tt0066995
Die Hard (1988),tt0095016
